Date_Tableau,Date_PB,Date_Exp,Weekday,Weekend,Weekend2,Saturday,Sunday,Value
2-May-18,02-05-2018,2018-05-02,4,0,0,0,0,13613.65972
3-May-18,03-05-2018,2018-05-03,5,0,0,0,0,9651.91707
4-May-18,04-05-2018,2018-05-04,6,0,0,0,0,13569.66321
5-May-18,05-05-2018,2018-05-05,7,1,1,1,0,11493.93809
6-May-18,06-05-2018,2018-05-06,1,1,2,0,1,19677.59124
7-May-18,07-05-2018,2018-05-07,2,0,0,0,0,11535.20468
8-May-18,08-05-2018,2018-05-08,3,0,0,0,0,12763.68359
9-May-18,09-05-2018,2018-05-09,4,0,0,0,0,12232.36016
10-May-18,10-05-2018,2018-05-10,5,0,0,0,0,7687.02815
11-May-18,11-05-2018,2018-05-11,6,0,0,0,0,8664.77219
12-May-18,12-05-2018,2018-05-12,7,1,1,1,0,10615.97756
13-May-18,13-05-2018,2018-05-13,1,1,2,0,1,17796.06163
14-May-18,14-05-2018,2018-05-14,2,0,0,0,0,14072.47536
15-May-18,15-05-2018,2018-05-15,3,0,0,0,0,14045.26411
16-May-18,16-05-2018,2018-05-16,4,0,0,0,0,9027.78919
17-May-18,17-05-2018,2018-05-17,5,0,0,0,0,12760.68718
18-May-18,18-05-2018,2018-05-18,6,0,0,0,0,14119.90884
19-May-18,19-05-2018,2018-05-19,7,1,1,1,0,14469.7359
20-May-18,20-05-2018,2018-05-20,1,1,2,0,1,13612.41036
21-May-18,21-05-2018,2018-05-21,2,0,0,0,0,12776.26715
22-May-18,22-05-2018,2018-05-22,3,0,0,0,0,8118.44951
23-May-18,23-05-2018,2018-05-23,4,0,0,0,0,8779.86319
24-May-18,24-05-2018,2018-05-24,5,0,0,0,0,15971.1186
25-May-18,25-05-2018,2018-05-25,6,0,0,0,0,10822.23663
26-May-18,26-05-2018,2018-05-26,7,1,1,1,0,9826.83289
27-May-18,27-05-2018,2018-05-27,1,1,2,0,1,15780.01952
28-May-18,28-05-2018,2018-05-28,2,0,0,0,0,12858.26
29-May-18,29-05-2018,2018-05-29,3,0,0,0,0,9748.13442
30-May-18,30-05-2018,2018-05-30,4,0,0,0,0,9299.49057
31-May-18,31-05-2018,2018-05-31,5,0,0,0,0,10633.54479
1-Jun-18,01-06-2018,2018-06-01,6,0,0,0,0,10646.01695
2-Jun-18,02-06-2018,2018-06-02,7,1,1,1,0,8038.24602
3-Jun-18,03-06-2018,2018-06-03,1,1,2,0,1,13213.32798
4-Jun-18,04-06-2018,2018-06-04,2,0,0,0,0,10937.49983
5-Jun-18,05-06-2018,2018-06-05,3,0,0,0,0,10088.43894
6-Jun-18,06-06-2018,2018-06-06,4,0,0,0,0,10669.26656
7-Jun-18,07-06-2018,2018-06-07,5,0,0,0,0,9559.58119
8-Jun-18,08-06-2018,2018-06-08,6,0,0,0,0,7795.91564
