Date,Label,Traffic Volume in MB
21/10/2018,Prophet,15827.92256
22/10/2018,Prophet,12837.62436
23/09/2018,ARIMA,12805.70455
24/09/2018,ARIMA,11617.71636
25/09/2018,ARIMA,10441.00872
26/09/2018,ARIMA,12201.65227
27/09/2018,ARIMA,11726.65586
28/09/2018,ARIMA,12005.84777
29/09/2018,ARIMA,12545.26036
30/09/2018,ARIMA,12120.64763
1/10/2018,ARIMA,11706.20234
2/10/2018,ARIMA,11295.69242
3/10/2018,ARIMA,11909.91605
4/10/2018,ARIMA,11744.20731
5/10/2018,ARIMA,11841.60708
6/10/2018,ARIMA,12029.78825
7/10/2018,ARIMA,11881.65652
8/10/2018,ARIMA,11737.07183
9/10/2018,ARIMA,11593.86005
10/10/2018,ARIMA,11808.14004
11/10/2018,ARIMA,11750.33037
12/10/2018,ARIMA,11784.30956
13/10/2018,ARIMA,11849.95903
14/10/2018,ARIMA,11798.28133
15/10/2018,ARIMA,11747.84106
16/10/2018,ARIMA,11697.87975
17/10/2018,ARIMA,11772.63414
18/10/2018,ARIMA,11752.46648
19/10/2018,ARIMA,11764.32056
20/10/2018,ARIMA,11787.22324
21/10/2018,ARIMA,11769.1948
22/10/2018,ARIMA,11751.59805
22/09/2018,Additive Holt-Winters Method,14022.83725
22/09/2018,Multiplicative Holt-Winters Method,14022.83725
22/09/2018,Holt's Linear Method,14022.83725
22/09/2018,Prophet with Holiday Effect,14022.83725
22/09/2018,Prophet,14022.83725
22/09/2018,ARIMA,14022.83725
