DATE,DATETIME,TIME,HOUR,CELLNAME,VALUE
2/11/2017,11/02/2017 19:00:00,19:00:00,19,Cell_004071,272.06035
2/11/2017,11/02/2017 15:00:00,15:00:00,15,Cell_004071,59.64384
2/11/2017,11/02/2017 02:00:00,02:00:00,2,Cell_004071,0
2/11/2017,11/02/2017 18:00:00,18:00:00,18,Cell_004071,42.36607
2/11/2017,11/02/2017 05:00:00,05:00:00,5,Cell_004071,399.36155
2/11/2017,11/02/2017 14:00:00,14:00:00,14,Cell_004071,11.3151
2/11/2017,11/02/2017 13:00:00,13:00:00,13,Cell_004071,118.93691
2/11/2017,11/02/2017 21:00:00,21:00:00,21,Cell_004071,0.06323
2/11/2017,11/02/2017 01:00:00,01:00:00,1,Cell_004071,7.11186
2/11/2017,11/02/2017 22:00:00,22:00:00,22,Cell_004071,17.94579
2/11/2017,11/02/2017 03:00:00,03:00:00,3,Cell_004071,0
2/11/2017,11/02/2017 06:00:00,06:00:00,6,Cell_004071,2.98932
2/11/2017,11/02/2017 04:00:00,04:00:00,4,Cell_004071,2.65866
2/11/2017,11/02/2017 00:00:00,00:00:00,0,Cell_004071,33.7352
2/11/2017,11/02/2017 11:00:00,11:00:00,11,Cell_004071,36.92388
2/11/2017,11/02/2017 17:00:00,17:00:00,17,Cell_004071,144.36088
3/11/2017,11/03/2017 00:00:00,00:00:00,0,Cell_004071,17.20589
3/11/2017,11/03/2017 20:00:00,20:00:00,20,Cell_004071,139.25028
3/11/2017,11/03/2017 01:00:00,01:00:00,1,Cell_004071,0
3/11/2017,11/03/2017 22:00:00,22:00:00,22,Cell_004071,244.60986
3/11/2017,11/03/2017 19:00:00,19:00:00,19,Cell_004071,75.69305
3/11/2017,11/03/2017 03:00:00,03:00:00,3,Cell_004071,0.10855
3/11/2017,11/03/2017 23:00:00,23:00:00,23,Cell_004071,328.41542
3/11/2017,11/03/2017 14:00:00,14:00:00,14,Cell_004071,12.2376
3/11/2017,11/03/2017 06:00:00,06:00:00,6,Cell_004071,2.28324
3/11/2017,11/03/2017 09:00:00,09:00:00,9,Cell_004071,15.24608
3/11/2017,11/03/2017 02:00:00,02:00:00,2,Cell_004071,0
3/11/2017,11/03/2017 10:00:00,10:00:00,10,Cell_004071,34.34617
3/11/2017,11/03/2017 13:00:00,13:00:00,13,Cell_004071,4.0976
3/11/2017,11/03/2017 07:00:00,07:00:00,7,Cell_004071,28.21652
3/11/2017,11/03/2017 18:00:00,18:00:00,18,Cell_004071,183.45424
3/11/2017,11/03/2017 08:00:00,08:00:00,8,Cell_004071,8.09881
3/11/2017,11/03/2017 11:00:00,11:00:00,11,Cell_004071,26.56141
3/11/2017,11/03/2017 12:00:00,12:00:00,12,Cell_004071,19.59839
3/11/2017,11/03/2017 04:00:00,04:00:00,4,Cell_004071,1.48101
3/11/2017,11/03/2017 05:00:00,05:00:00,5,Cell_004071,66.36565
3/11/2017,11/03/2017 17:00:00,17:00:00,17,Cell_004071,27.89636
3/11/2017,11/03/2017 16:00:00,16:00:00,16,Cell_004071,3.86381
3/11/2017,11/03/2017 15:00:00,15:00:00,15,Cell_004071,12.28845
3/11/2017,11/03/2017 21:00:00,21:00:00,21,Cell_004071,118.23396
4/11/2017,11/04/2017 03:00:00,03:00:00,3,Cell_004071,1.57643
4/11/2017,11/04/2017 23:00:00,23:00:00,23,Cell_004071,11.28715
4/11/2017,11/04/2017 16:00:00,16:00:00,16,Cell_004071,24.72545
4/11/2017,11/04/2017 05:00:00,05:00:00,5,Cell_004071,5.43091
4/11/2017,11/04/2017 01:00:00,01:00:00,1,Cell_004071,3.26938
4/11/2017,11/04/2017 18:00:00,18:00:00,18,Cell_004071,6.72132
4/11/2017,11/04/2017 11:00:00,11:00:00,11,Cell_004071,67.68291
4/11/2017,11/04/2017 08:00:00,08:00:00,8,Cell_004071,5.79836
4/11/2017,11/04/2017 09:00:00,09:00:00,9,Cell_004071,0.30441
4/11/2017,11/04/2017 21:00:00,21:00:00,21,Cell_004071,89.91901
4/11/2017,11/04/2017 20:00:00,20:00:00,20,Cell_004071,174.66212
4/11/2017,11/04/2017 22:00:00,22:00:00,22,Cell_004071,30.6632
4/11/2017,11/04/2017 02:00:00,02:00:00,2,Cell_004071,6.50416
4/11/2017,11/04/2017 19:00:00,19:00:00,19,Cell_004071,93.40609
4/11/2017,11/04/2017 06:00:00,06:00:00,6,Cell_004071,21.23079
4/11/2017,11/04/2017 17:00:00,17:00:00,17,Cell_004071,28.61034
4/11/2017,11/04/2017 07:00:00,07:00:00,7,Cell_004071,6.11221
4/11/2017,11/04/2017 04:00:00,04:00:00,4,Cell_004071,49.81177
4/11/2017,11/04/2017 14:00:00,14:00:00,14,Cell_004071,72.96217
4/11/2017,11/04/2017 12:00:00,12:00:00,12,Cell_004071,48.83051
4/11/2017,11/04/2017 15:00:00,15:00:00,15,Cell_004071,20.36052
4/11/2017,11/04/2017 13:00:00,13:00:00,13,Cell_004071,5.24551
4/11/2017,11/04/2017 10:00:00,10:00:00,10,Cell_004071,179.83387
4/11/2017,11/04/2017 00:00:00,00:00:00,0,Cell_004071,2.98032
5/11/2017,11/05/2017 04:00:00,04:00:00,4,Cell_004071,0.22626
5/11/2017,11/05/2017 09:00:00,09:00:00,9,Cell_004071,227.53759
5/11/2017,11/05/2017 19:00:00,19:00:00,19,Cell_004071,718.90998
5/11/2017,11/05/2017 06:00:00,06:00:00,6,Cell_004071,46.8784
5/11/2017,11/05/2017 20:00:00,20:00:00,20,Cell_004071,146.81569
5/11/2017,11/05/2017 13:00:00,13:00:00,13,Cell_004071,19.41826
5/11/2017,11/05/2017 01:00:00,01:00:00,1,Cell_004071,102.59927
5/11/2017,11/05/2017 16:00:00,16:00:00,16,Cell_004071,72.0527
5/11/2017,11/05/2017 08:00:00,08:00:00,8,Cell_004071,103.72118
5/11/2017,11/05/2017 05:00:00,05:00:00,5,Cell_004071,14.58972
5/11/2017,11/05/2017 07:00:00,07:00:00,7,Cell_004071,379.86449
5/11/2017,11/05/2017 10:00:00,10:00:00,10,Cell_004071,560.23242
5/11/2017,11/05/2017 15:00:00,15:00:00,15,Cell_004071,128.18517
5/11/2017,11/05/2017 22:00:00,22:00:00,22,Cell_004071,261.77642
5/11/2017,11/05/2017 18:00:00,18:00:00,18,Cell_004071,201.51473
5/11/2017,11/05/2017 00:00:00,00:00:00,0,Cell_004071,10.69952
5/11/2017,11/05/2017 14:00:00,14:00:00,14,Cell_004071,60.39863
5/11/2017,11/05/2017 02:00:00,02:00:00,2,Cell_004071,69.06563
5/11/2017,11/05/2017 23:00:00,23:00:00,23,Cell_004071,161.33786
5/11/2017,11/05/2017 03:00:00,03:00:00,3,Cell_004071,0.12206
5/11/2017,11/05/2017 12:00:00,12:00:00,12,Cell_004071,221.91421
5/11/2017,11/05/2017 21:00:00,21:00:00,21,Cell_004071,308.95281
5/11/2017,11/05/2017 11:00:00,11:00:00,11,Cell_004071,51.24694
5/11/2017,11/05/2017 17:00:00,17:00:00,17,Cell_004071,144.85335
6/11/2017,11/06/2017 18:00:00,18:00:00,18,Cell_004071,68.1351
6/11/2017,11/06/2017 15:00:00,15:00:00,15,Cell_004071,1.18902
6/11/2017,11/06/2017 10:00:00,10:00:00,10,Cell_004071,90.14306
6/11/2017,11/06/2017 14:00:00,14:00:00,14,Cell_004071,139.23608
6/11/2017,11/06/2017 21:00:00,21:00:00,21,Cell_004071,21.84079
6/11/2017,11/06/2017 00:00:00,00:00:00,0,Cell_004071,48.47045
6/11/2017,11/06/2017 09:00:00,09:00:00,9,Cell_004071,49.21621
6/11/2017,11/06/2017 08:00:00,08:00:00,8,Cell_004071,504.18932
6/11/2017,11/06/2017 20:00:00,20:00:00,20,Cell_004071,30.7122
6/11/2017,11/06/2017 17:00:00,17:00:00,17,Cell_004071,13.09864
6/11/2017,11/06/2017 23:00:00,23:00:00,23,Cell_004071,0.25565
